site,lat,lon,subregion
Y2433,24.615367,-82.926475,Tortugas--Dry Tortugas NP
Y2434,24.640204,-82.829801,Tortugas--Dry Tortugas NP
Y2436,24.670453,-82.909123,Tortugas--Dry Tortugas NP
Y2437,24.631256,-82.842513,Tortugas--Dry Tortugas NP
Y2440,24.601257,-82.97169,Tortugas--Dry Tortugas NP
Y2442,24.700188,-82.832412,Tortugas--Dry Tortugas NP
Y2446,24.669911,-82.820914,Tortugas--Dry Tortugas NP
Y2447,24.640337,-82.852,Tortugas--Dry Tortugas NP
Y2448,24.659733,-82.814892,Tortugas--Dry Tortugas NP
Y2450,24.657628,-82.849968,Tortugas--Dry Tortugas NP
Y2452,24.598935,-82.974668,Tortugas--Dry Tortugas NP
Y2453,24.634586,-82.81449,Tortugas--Dry Tortugas NP
Y2454,24.609187,-82.873842,Tortugas--Dry Tortugas NP
Y2456,24.681202,-82.786186,Tortugas--Dry Tortugas NP
Y2457,24.65542,-82.93598,Tortugas--Dry Tortugas NP
Y2458,24.678248,-82.812986,Tortugas--Dry Tortugas NP
Y2461,24.665106,-82.855909,Tortugas--Dry Tortugas NP
Y2463,24.616076,-82.868678,Tortugas--Dry Tortugas NP
Y2464,24.664191,-82.775397,Tortugas--Dry Tortugas NP
Y2465,24.601973,-82.984529,Tortugas--Dry Tortugas NP
Y3000,24.48034,-81.71322,Lower Keys
Y3001,25.13428699,-80.32954803,Upper Keys
Y3002,25.02018,-80.4403,Upper Keys
Y3003,25.01005,-80.45784,Upper Keys
Y3004,24.9354,-80.5495,Mid-Upper Keys Transition
Y3005,24.99308,-80.46524,Upper Keys
Y3006,25.07793,-80.37773,Upper Keys
Y3007,24.63182,-81.09141,Middle Keys
Y3008,24.63991,-81.0667,Middle Keys
Y3009,24.98733,-80.46446,Upper Keys
Y3010,25.037273,-80.415602,Upper Keys
Y3011,25.02163,-80.39648,Upper Keys
Y3014,25.42476,-80.12395,Biscayne
Y3016,25.005284,-80.392652,Upper Keys
Y3017,25.013813,-80.40514,Upper Keys
Y3018,25.001451,-80.395158,Upper Keys
Y3019,25.16198,-80.261626,Upper Keys
Y3020,25.133317,-80.264046,Upper Keys
Y3021,25.153965,-80.267819,Upper Keys
Y3022,25.141752,-80.259024,Upper Keys
Y3023,25.139684,-80.294095,Upper Keys
Y3024,25.13642,-80.28953,Upper Keys
Y3025,25.128966,-80.294322,Upper Keys
Y3026,24.63947,-81.06688,Middle Keys
Y3027,24.666441,-81.072513,Middle Keys
Y3028,24.63498,-81.080022,Middle Keys
Y3030,24.63296,-81.08892,Middle Keys
Y3031,24.56251,-81.40542,Lower Keys
Y3032,24.60958,-81.1554,Middle Keys
Y3033,24.54669244,-81.40159193,Lower Keys
Y3034,24.5464,-81.40365,Lower Keys
Y3035,24.555505,-81.372444,Lower Keys
Y3036,24.6811,-82.891,Tortugas--Dry Tortugas NP
Y3037,24.600507,-82.946378,Tortugas--Dry Tortugas NP
Y3038,24.602393,-82.948687,Tortugas--Dry Tortugas NP
Y3039,24.600794,-82.948251,Tortugas--Dry Tortugas NP
Y3040,26.76317,-80.02179,North Palm Beach
Y3041,26.76128,-80.02119,North Palm Beach
Y3042,25.01011,-80.37548,Upper Keys
Y3043,25.05228,-80.3353,Upper Keys
Y3045,24.61933,-82.91955,Tortugas--Dry Tortugas NP
