data_provider,site,lat,lon,date,species,coral_type,n_alive,n_dead,n_geno,n_total,pct_mort,n_total_cat,subregion,siteclust
fwc,fwc.Ball Buoy,25.31618,-80.187916,2023-08-03,APAL,Wild,17,0,NA,17,0,"[10,100)",Biscayne,23
fwc,fwc.Ball Buoy,25.31618,-80.187916,2023-11-17,APAL,Wild,15,2,NA,17,0.11764705882352941,"[10,100)",Biscayne,23
fwc,fwc.Marker 3,25.3732,-80.16031,2023-08-03,APAL,Wild,14,0,NA,14,0,"[10,100)",Biscayne,24
fwc,fwc.Marker 3,25.3732,-80.16031,2023-11-17,APAL,Wild,0,14,NA,14,1,"[10,100)",Biscayne,24
mml,mml.A_5,24.55284,-81.38387,2023-11-09,ACER,Outplant,0,15,NA,15,1,"[10,100)",Lower Keys,25
mml,mml.AA_10,24.53336,-81.47099,2023-11-17,ACER,Outplant,0,496,NA,496,1,"[100,1e+03)",Lower Keys,26
mml,mml.AA_7,24.53331,-81.47059,2023-11-17,ACER,Outplant,0,284,NA,284,1,"[100,1e+03)",Lower Keys,26
mml,mml.AA_8,24.53267,-81.4683,2023-11-17,ACER,Outplant,12,158,NA,170,0.9294117647058824,"[100,1e+03)",Lower Keys,26
mml,mml.AA_AC_1,24.53395,-81.47822,2023-11-28,ACER,Outplant,158,46,NA,204,0.22549019607843138,"[100,1e+03)",Lower Keys,26
mml,mml.AB_5,24.52031,-81.54101,2023-12-04,ACER,Outplant,0,225,NA,225,1,"[100,1e+03)",Lower Keys,27
mml,mml.AB_6,24.51765,-81.54155,2023-12-04,ACER,Outplant,0,44,NA,44,1,"[10,100)",Lower Keys,27
mml,mml.AB_7,24.51796,-81.54226,2023-12-04,ACER,Outplant,0,486,NA,486,1,"[100,1e+03)",Lower Keys,27
mml,mml.AB_8,24.51847,-81.54015,2023-12-04,ACER,Outplant,0,500,NA,500,1,"[100,1e+03)",Lower Keys,27
mml,mml.AB_AC_1,24.52003,-81.54063,2023-12-04,ACER,Outplant,9,72,NA,81,0.8888888888888888,"[10,100)",Lower Keys,27
mml,mml.AC_2,24.51561,-81.55064,2023-11-28,ACER,Outplant,0,205,NA,205,1,"[100,1e+03)",Lower Keys,27
mml,mml.AC_3,24.51415,-81.55301,2023-11-28,ACER,Outplant,0,275,NA,275,1,"[100,1e+03)",Lower Keys,27
mml,mml.AC_4,24.51391,-81.55318,2023-11-28,ACER,Outplant,0,489,NA,489,1,"[100,1e+03)",Lower Keys,27
mml,mml.AC_AC_1,24.5145,-81.55344,2023-11-28,ACER,Outplant,0,126,NA,126,1,"[100,1e+03)",Lower Keys,27
mml,mml.AC_AC_2,24.51424,-81.55301,2023-11-28,ACER,Outplant,141,67,NA,208,0.32211538461538464,"[100,1e+03)",Lower Keys,27
mml,mml.AC_IAP_1,24.5145,-81.55344,2023-11-28,APAL,Outplant,0,24,NA,24,1,"[10,100)",Lower Keys,27
mml,mml.AD_1,24.50667,-81.58897,2023-11-10,ACER,Outplant,0,245,NA,245,1,"[100,1e+03)",Lower Keys,28
mml,mml.AE_1,24.50531,-81.59803,2023-11-10,ACER,Outplant,0,252,NA,252,1,"[100,1e+03)",Lower Keys,28
mml,mml.BA_3,24.47161,-81.76494,2023-11-10,ACER,Outplant,0,155,NA,155,1,"[100,1e+03)",Lower Keys,29
